WKT,FID,LSOA21CD,LSOA21NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
POINT (-2.44941 53.58145),4610,E01004870,Bolton 015C,370343,409521,-2.44941,53.58145,316658.8681,4886.838786,c1b3c7ff-51ba-4009-8c5e-accd4f9ed6f2
POINT (-2.44878 53.5765),4611,E01004871,Bolton 015D,370381,408970,-2.44878,53.5765,200377.3223,2342.753699,a0bba577-9491-4e2f-a3f4-71f7cec069fb
POINT (-2.41453 53.54923),4612,E01004872,Bolton 029B,372631,405923,-2.41453,53.54923,244473.8307,2956.696255,75023b06-ca9e-408b-b80c-5c12e773999a
POINT (-2.41882 53.55212),4613,E01004873,Bolton 029C,372349,406246,-2.41882,53.55212,246198.5861,2922.268578,6665d13b-fb6d-4759-a58d-374767181562
POINT (-2.4346 53.5452),4614,E01004874,Bolton 033D,371299,405482,-2.4346,53.5452,313010.9959,3262.797374,33975532-a19e-4d61-afed-154687001f16
POINT (-2.42998 53.55023),4615,E01004875,Bolton 029D,371608,406040,-2.42998,53.55023,528339.6811,4769.313973,924d53f3-7de7-4268-8bda-be7b383d3b41
POINT (-2.42669 53.54396),4616,E01004876,Bolton 033E,371822,405341,-2.42669,53.54396,393183.007,2798.636917,cfda82ff-a7e6-453f-a6ed-d6e550645a15
POINT (-2.43934 53.55702),4617,E01004877,Bolton 025D,370993,406799,-2.43934,53.55702,542684.8101,4563.174471,0e4b3827-1352-47a1-8d00-3ffd0c58cb15
POINT (-2.44362 53.55922),4618,E01004878,Bolton 023E,370711,407046,-2.44362,53.55922,232497.2555,3136.495508,f0749a33-ab9c-4521-8199-288757af2ae0
POINT (-2.43327 53.55818),4619,E01004879,Bolton 025E,371396,406926,-2.43327,53.55818,177847.8956,1870.767913,46b281e2-fe41-41f2-8f8d-866602f06905
POINT (-2.42394 53.55354),4620,E01004880,Bolton 029E,372011,406406,-2.42394,53.55354,469866.6534,4574.089006,931f628b-0a43-4f6f-b41c-dcf4bdfa6221
POINT (-2.55017 53.60119),4621,E01004881,Bolton 004B,363689,411765,-2.55017,53.60119,208474.5289,3059.198576,0dba742b-31e9-4b87-a6e5-edf348599bef
POINT (-2.54298 53.59587),4622,E01004882,Bolton 007C,364160,411169,-2.54298,53.59587,234145.8262,3145.118592,76e92c55-3bb8-4759-b9c1-7b64b1dcc4a0
POINT (-2.53645 53.59318),4623,E01004883,Bolton 007D,364590,410866,-2.53645,53.59318,482809.6737,4050.803735,7328e900-4a6c-48db-8d5e-b3a0f303fd21
POINT (-2.52172 53.60994),4624,E01004884,Bolton 007E,365579,412724,-2.52172,53.60994,5692361.812,17241.45895,2bf89679-6a6a-4845-8958-d084c78264cf
POINT (-2.51463 53.59244),4625,E01004885,Bolton 014B,366034,410773,-2.51463,53.59244,1957782.029,11354.86951,a05a052f-525b-4602-9637-b5ce2431fb4d
POINT (-2.52891 53.58899),4626,E01004886,Bolton 014C,365086,410396,-2.52891,53.58899,237370.6763,3982.070143,36b045ce-ac1e-45ed-bb49-04bc63288ddf
POINT (-2.51806 53.59029),4627,E01004887,Bolton 014D,365805,410536,-2.51806,53.59029,666100.991,7458.07125,6aeaeffd-91d7-45bc-b8a4-347973651701
POINT (-2.54043 53.6051),4628,E01004888,Bolton 004C,364337,412194,-2.54043,53.6051,375606.4425,4310.584311,c4db727f-6376-4318-b62c-8ee0cd8ce24a
POINT (-2.54818 53.60473),4629,E01004889,Bolton 004D,363824,412157,-2.54818,53.60473,327390.1105,4206.629145,0508bf01-6eb1-4b8e-80ed-033570c077ea
POINT (-2.54367 53.60067),4630,E01004890,Bolton 004E,364119,411703,-2.54367,53.60067,308180.6686,4353.895947,cc39bfa3-467a-43ae-acaa-8d5ceaf27b2b
POINT (-2.49803 53.54802),4631,E01004891,Bolton 028A,367098,405823,-2.49803,53.54802,1087592.867,8539.270998,41281f0f-c90b-40fe-871d-a383633a08cc
POINT (-2.48366 53.54353),4632,E01004892,Bolton 030A,368047,405317,-2.48366,53.54353,3457865.725,9170.636584,0bbe8d37-f2b2-4c7f-9047-4cf5ea43a6ce
POINT (-2.50822 53.54305),4633,E01004893,Bolton 028B,366419,405275,-2.50822,53.54305,999137.5342,6874.520775,07c31702-94e2-4e5c-9ff5-6d89c1afdf93
POINT (-2.51762 53.54817),4634,E01004894,Bolton 028C,365800,405849,-2.51762,53.54817,499402.769,5441.375467,a6cb2d03-9d4b-4603-ade2-fabae540222a
POINT (-2.51679 53.5419),4635,E01004895,Bolton 031B,365850,405152,-2.51679,53.5419,264294.9969,3854.212965,c978d2ae-09ab-48c5-98f4-d81d83fe8527
POINT (-2.47314 53.53411),4636,E01004896,Bolton 030B,368737,404265,-2.47314,53.53411,480469.229,4732.512203,ece0bf0b-25d4-43c3-974c-97c0afe4180b
POINT (-2.48775 53.56993),4637,E01004897,Bolton 020E,367796,408256,-2.48775,53.56993,772090.9201,3804.676852,6767f6ca-b330-47d4-a12a-bf866c407b9c
POINT (-2.4811 53.55729),4638,E01004899,Bolton 030C,368227,406847,-2.4811,53.55729,1495734.662,6601.303619,c8e8fd18-5901-4bef-879a-eccf5eef029b
POINT (-2.46928 53.55899),4639,E01004900,Bolton 030D,369011,407031,-2.46928,53.55899,254661.8549,2721.252089,680193eb-8e56-450d-bbdd-95638a4a865c
POINT (-2.51376 53.55427),4640,E01004901,Bolton 028E,366061,406526,-2.51376,53.55427,354362.5118,4612.523585,ff12dbf3-09a2-49f3-a406-e960935bef49
POINT (-2.39546 53.5419),4641,E01004902,Bolton 032D,373890,405100,-2.39546,53.5419,439779.0919,3102.624868,5b9c6c6d-ae7c-431f-aaea-97acc1798780
POINT (-2.36972 53.54173),4642,E01004903,Bolton 034A,375596,405072,-2.36972,53.54173,533881.6592,5545.022998,e4fd5bd0-f1c3-4bee-a80c-17e43ba01f25
POINT (-2.35249 53.54092),4643,E01004904,Bolton 034B,376737,404976,-2.35249,53.54092,1936911.708,8125.64876,a0e95ac4-0864-4a84-8f3f-418c5c9c0362
POINT (-2.38039 53.54236),4644,E01004905,Bolton 034C,374889,405146,-2.38039,53.54236,343915.7796,3733.930831,818dd98b-fbb2-487c-8f41-3c79690777a8
POINT (-2.38325 53.54625),4645,E01004906,Bolton 032E,374702,405580,-2.38325,53.54625,624471.3112,5126.018543,d944528d-7fa2-4ae4-9fd7-a6c71886db6f
POINT (-2.38398 53.53693),4646,E01004907,Bolton 034D,374648,404543,-2.38398,53.53693,323138.6174,3311.820056,4254ea03-21e1-421c-a972-bfd452783253
POINT (-2.36204 53.5347),4647,E01004908,Bolton 034E,376101,404287,-2.36204,53.5347,2004788.058,10441.21703,f2c2bbe8-cd03-456c-a3e3-2c604ec08577
POINT (-2.37448 53.53715),4648,E01004909,Bolton 034F,375278,404564,-2.37448,53.53715,355048.4991,3254.385697,b843202e-788f-40ee-941a-732d8c2083ef
POINT (-2.36787 53.54893),4649,E01004910,Bolton 034G,375723,405872,-2.36787,53.54893,1084223.513,5605.971425,7c5715d2-b518-4001-8771-860e077ad062
POINT (-2.37513 53.56365),4650,E01004911,Bolton 024A,375250,407513,-2.37513,53.56365,311168.4855,5111.06655,4fb70bd7-b5a2-4fe7-a1cc-270d3e463668
POINT (-2.38237 53.56024),4651,E01004912,Bolton 024B,374769,407136,-2.38237,53.56024,580350.6946,5823.373831,baa8f247-76c6-4dbb-9901-183b27ad0bf4
POINT (-2.36631 53.56489),4652,E01004913,Bolton 024C,375835,407648,-2.36631,53.56489,428566.2327,3891.872148,ff458722-e4db-4ba7-909a-d9fd4d5736d6
POINT (-2.3597 53.56247),4653,E01004914,Bolton 024D,376272,407376,-2.3597,53.56247,465709.61,3994.970625,90ae6ac6-6f77-4f04-a5be-71e928ff775a
POINT (-2.37605 53.55587),4654,E01004915,Bolton 024E,375185,406647,-2.37605,53.55587,503123.9097,4527.713461,25f6afb9-3a47-450e-8a97-4ea6fbac1ccf
POINT (-2.36553 53.55772),4655,E01004916,Bolton 024F,375883,406850,-2.36553,53.55772,431543.0796,3678.924236,6df1de53-1538-45e8-aeb3-6babbcb659de
POINT (-2.39023 53.56544),4656,E01004917,Bolton 019F,374251,407717,-2.39023,53.56544,1738930.819,7915.814508,1e4dbda8-2124-4048-9bd9-0a840c540d35
POINT (-2.37217 53.56819),4657,E01004918,Bolton 024G,375449,408017,-2.37217,53.56819,212101.0534,3056.760952,2d567a3d-e1d1-4f3e-b592-857665a6f17f
POINT (-2.46555 53.59073),4658,E01004919,Bolton 012D,369281,410561,-2.46555,53.59073,399370.7532,4336.752572,23ecba5d-2655-454a-97e0-c884ddc23e53
POINT (-2.47666 53.58941),4659,E01004920,Bolton 012E,368545,410419,-2.47666,53.58941,463655.4471,3302.213669,5466c262-8a9d-491c-a6c1-db8a15281e8f
POINT (-2.45971 53.58949),4660,E01004921,Bolton 008C,369667,410420,-2.45971,53.58949,230842.2857,4258.1433,714f7c2a-9981-4a26-8c8a-e6de57befcd9
POINT (-2.45652 53.5867),4661,E01004922,Bolton 015E,369876,410108,-2.45652,53.5867,284653.6128,3878.157029,b6d69b91-af82-492b-8ec8-2800ff3cd7cc
POINT (-2.45774 53.58215),4662,E01004923,Bolton 018E,369792,409603,-2.45774,53.58215,168219.3661,1859.203633,e52cf447-8d8e-431f-ad11-d280e45ffea5
POINT (-2.48446 53.61031),4663,E01004924,Bolton 008D,368044,412748,-2.48446,53.61031,6114683.727,14213.49313,c94059e4-9941-4c7c-b8d6-a94b31fa93d6
POINT (-2.45565 53.5933),4664,E01004925,Bolton 008E,369938,410842,-2.45565,53.5933,211660.1187,3475.72388,5eaa4c66-b5b8-42fd-8332-2ac5dd21ed0f
POINT (-2.40845 53.59171),4665,E01004926,Bolton 010B,373061,410646,-2.40845,53.59171,222114.2229,2762.762517,bb626fc7-b90e-4806-a74f-7f6e49e1e770
POINT (-2.41679 53.58944),4666,E01004927,Bolton 010C,372508,410397,-2.41679,53.58944,676753.485,5986.297898,4d854a85-5fce-4e09-92c8-45dfac351842
POINT (-2.40865 53.58805),4667,E01004928,Bolton 017C,373046,410239,-2.40865,53.58805,183316.7673,3552.813302,2c332b9d-bd8b-49b0-aeaf-322bc9af7ef6
POINT (-2.41496 53.59314),4668,E01004929,Bolton 010D,372631,410808,-2.41496,53.59314,569550.0287,5151.725581,ba6c1029-5a38-4c29-b434-96611df79049
